Domain,base_host,CSE_Score,CSE_Match,Lexical_Score,CSE_Similarity,risk_bucket,reason
goodline.xyz,goodline.xyz,0.3045,SBI,0.19,0.4762,low,lexical+cse
collabswithnicki.com,collabswithnicki.com,0.3578,NIC,0.0963,0.75,low,lexical+cse
fpnice.site,fpnice.site,0.3902,NIC,0.0684,0.8727,low,lexical+cse
lumyncommunications.com,lumyncommunications.com,0.3479,NIC,0.0929,0.7304,low,lexical+cse
smkn1tlayang.sch.id,smkn1tlayang.sch.id,0.3057,NIC,0.2428,0.4,low,lexical+cse
ingridlimanutri.com.br,ingridlimanutri.com.br,0.3071,ICICI,0.2373,0.4118,low,lexical+cse
707betwin.com.br,707betwin.com.br,0.3211,ICICI,0.2495,0.4286,low,lexical+cse
investimentosdeaz.com.br,investimentosdeaz.com.br,0.3051,ICICI,0.2493,0.3889,low,lexical+cse
culartronics.shop,culartronics.shop,0.3654,NIC,0.0913,0.7765,low,lexical+cse
drirshadwanicardiologist.com,drirshadwanicardiologist.com,0.3481,NIC,0.1087,0.7071,low,lexical+cse
recite.icu,recite.icu,0.3139,IRCTC,0.1677,0.5333,low,lexical+cse
555betcassino.com.br,555betcassino.com.br,0.3289,ICICI,0.2565,0.4375,low,lexical+cse
t-32.online,t-32.online,0.3033,SBI,0.1054,0.6,low,lexical+cse
auloginvid1e4c.top,auloginvid1e4c.top,0.3048,ICICI,0.2322,0.4138,low,lexical+cse
cadamuroeteixeiraadvocacia.com.br,cadamuroeteixeiraadvocacia.com.br,0.3055,ICICI,0.2721,0.3556,low,lexical+cse
smallbatchchronic.com,smallbatchchronic.com,0.3539,NIC,0.0945,0.7429,low,lexical+cse
fannico.net,fannico.net,0.389,NIC,0.0665,0.8727,low,lexical+cse
clinicafarre.com,clinicafarre.com,0.3641,NIC,0.0818,0.7875,low,lexical+cse
rnsineuskc05.icu,rnsineuskc05.icu,0.3211,SBI,0.2151,0.48,low,lexical+cse
bumdes-makmur-sejahtera-polokarto.my.id,bumdes-makmur-sejahtera-polokarto.my.id,0.3168,BoB,0.3189,0.3137,low,lexical+cse
cideemlak.com.tr,cideemlak.com.tr,0.3066,ICICI,0.2147,0.4444,low,lexical+cse
glamourclinic.com.pl,glamourclinic.com.pl,0.4357,NIC,0.2262,0.75,low,lexical+cse
cornelectronics.com,cornelectronics.com,0.3536,NIC,0.0841,0.7579,low,lexical+cse
seoulicleyeclinic.com,seoulicleyeclinic.com,0.3488,NIC,0.0861,0.7429,low,lexical+cse
medicalorganic.com,medicalorganic.com,0.3597,NIC,0.0883,0.7667,low,lexical+cse
oceanicx.club,oceanicx.club,0.3791,NIC,0.0779,0.8308,low,lexical+cse
mychronicguide.com,mychronicguide.com,0.3615,NIC,0.0915,0.7667,low,lexical+cse
hbtnd-azinomo-bile.icu,hbtnd-azinomo-bile.icu,0.3151,IOCL,0.2241,0.4516,low,lexical+cse
clotlly.com.br,clotlly.com.br,0.3018,ICICI,0.1953,0.4615,low,lexical+cse
state-venice.com,state-venice.com,0.3684,NIC,0.0891,0.7875,low,lexical+cse
musclemechanicsla.com,musclemechanicsla.com,0.3516,NIC,0.0908,0.7429,low,lexical+cse
nutricionistaviniciustomasi.com,nutricionistaviniciustomasi.com,0.3407,NIC,0.1033,0.6968,low,lexical+cse
guggabob.com,guggabob.com,0.3778,BoB,0.0631,0.85,low,lexical+cse
rnsineuskc03.icu,rnsineuskc03.icu,0.3211,SBI,0.2151,0.48,low,lexical+cse
harmonisensbienetre.fr,harmonisensbienetre.fr,0.3512,SBI,0.0944,0.7364,low,lexical+cse
optonice.ru,optonice.ru,0.3932,NIC,0.0736,0.8727,low,lexical+cse
sonic88i.website,sonic88i.website,0.3766,NIC,0.1027,0.7875,low,lexical+cse
pwds.co.in,pwds.co.in,0.3119,NIC,0.1865,0.5,low,lexical+cse
hidzrf.icu,hidzrf.icu,0.3359,HDFC,0.1789,0.5714,low,lexical+cse
minikidscreate.xyz,minikidscreate.xyz,0.3184,ICICI,0.2088,0.4828,low,lexical+cse
arval.icu,arval.icu,0.3169,NIC,0.1727,0.5333,low,lexical+cse
maringorabotanics.hu,maringorabotanics.hu,0.3584,NIC,0.0973,0.75,low,lexical+cse
joymind-clinic.com,joymind-clinic.com,0.3593,NIC,0.0877,0.7667,low,lexical+cse
mylife2014.co.kr,mylife2014.co.kr,0.3004,SBI,0.2688,0.3478,low,lexical+cse
networksynth360.buzz,networksynth360.buzz,0.3005,PNB,0.2444,0.3846,low,lexical+cse
ng-venice.store,ng-venice.store,0.3727,NIC,0.0878,0.8,low,lexical+cse
masdigitalprodutos.com.br,masdigitalprodutos.com.br,0.3031,ICICI,0.2528,0.3784,low,lexical+cse
veronicamercado.com.ar,veronicamercado.com.ar,0.4321,NIC,0.2293,0.7364,low,lexical+cse
bildonline.click,bildonline.click,0.3369,SBI,0.1881,0.56,low,lexical+cse
techtronicsgadgets.store,techtronicsgadgets.store,0.349,NIC,0.0983,0.725,low,lexical+cse
connectwithshipbob.com,connectwithshipbob.com,0.3527,BoB,0.0969,0.7364,low,lexical+cse
oficialnerismaniotto.com.br,oficialnerismaniotto.com.br,0.3169,ICICI,0.2546,0.4103,low,lexical+cse
secprian.xyz,secprian.xyz,0.3273,SBI,0.1947,0.5263,low,lexical+cse
carthage.com.ly,carthage.com.ly,0.3175,Airtel,0.2117,0.4762,low,lexical+cse
airclimatizacao.com.br,airclimatizacao.com.br,0.3019,ICICI,0.2286,0.4118,low,lexical+cse
smilesaversclinic.com,smilesaversclinic.com,0.352,NIC,0.0915,0.7429,low,lexical+cse
nicksw.com,nicksw.com,0.4007,NIC,0.0678,0.9,low,lexical+cse
myminicast.com,myminicast.com,0.3707,NIC,0.075,0.8143,low,lexical+cse
yellow-line.icu,yellow-line.icu,0.3171,SBI,0.1951,0.5,low,lexical+cse
yardiebotanica.com,yardiebotanica.com,0.3615,NIC,0.0915,0.7667,low,lexical+cse
bobochs.com,bobochs.com,0.3829,BoB,0.0563,0.8727,low,lexical+cse
publicidadeiaatlas.com.br,publicidadeiaatlas.com.br,0.345,ICICI,0.2506,0.4865,low,lexical+cse
niut2.icu,niut2.icu,0.3099,NIC,0.1831,0.5,low,lexical+cse
supersonicvibes.club,supersonicvibes.club,0.3567,NIC,0.0945,0.75,low,lexical+cse
nicoseguroscale.com,nicoseguroscale.com,0.3583,NIC,0.0918,0.7579,low,lexical+cse
viacertadespachante.com.br,viacertadespachante.com.br,0.3007,ICICI,0.2556,0.3684,low,lexical+cse
servicoinicioauto.com,servicoinicioauto.com,0.3516,NIC,0.0908,0.7429,low,lexical+cse
fundacionieb.com.ar,fundacionieb.com.ar,0.3173,ICICI,0.2278,0.4516,low,lexical+cse
activaentel.i.ng,activaentel.i.ng,0.3087,Airtel,0.2115,0.4545,low,lexical+cse
sandynickerson.com,sandynickerson.com,0.3615,NIC,0.0915,0.7667,low,lexical+cse
viniciusdesigner.online,viniciusdesigner.online,0.3479,NIC,0.0928,0.7304,low,lexical+cse
hisbizz.com,hisbizz.com,0.3902,SBI,0.0684,0.8727,low,lexical+cse
zetflix-online.icu,zetflix-online.icu,0.3312,SBI,0.2063,0.5185,low,lexical+cse
botanicalsofearth.com,botanicalsofearth.com,0.3575,NIC,0.1005,0.7429,low,lexical+cse
clinicametodoalma.com.br,clinicametodoalma.com.br,0.4352,NIC,0.242,0.725,low,lexical+cse
tov.co.nl,tov.co.nl,0.3166,NIC,0.1721,0.5333,low,lexical+cse
dannadenicek.com,dannadenicek.com,0.362,NIC,0.0783,0.7875,low,lexical+cse
advocaciapirenopolis.com.br,advocaciapirenopolis.com.br,0.3179,ICICI,0.2564,0.4103,low,lexical+cse
sunrise-bay.icu,sunrise-bay.icu,0.302,SBI,0.2003,0.4545,low,lexical+cse
876fcjrpbg.top,876fcjrpbg.top,0.3224,HDFC,0.2344,0.4545,low,lexical+cse
vocedecozinhanova.com.br,vocedecozinhanova.com.br,0.3023,ICICI,0.2446,0.3889,low,lexical+cse
gatorcommunication.us,gatorcommunication.us,0.3532,NIC,0.0935,0.7429,low,lexical+cse
raiotv.com.br,raiotv.com.br,0.3106,ICICI,0.1976,0.48,low,lexical+cse
electronicsbazzar.com,electronicsbazzar.com,0.3565,NIC,0.0989,0.7429,low,lexical+cse
veronicacruzai.com,veronicacruzai.com,0.3597,NIC,0.0883,0.7667,low,lexical+cse
020vipbet.com.br,020vipbet.com.br,0.3211,ICICI,0.2495,0.4286,low,lexical+cse
charmychronicle.help,charmychronicle.help,0.3561,NIC,0.0935,0.75,low,lexical+cse
pictureorganicshop.com,pictureorganicshop.com,0.3558,NIC,0.1021,0.7364,low,lexical+cse
govc.online,govc.online,0.3234,NIC,0.0684,0.7059,low,lexical+cse
trendclip.com.br,trendclip.com.br,0.3024,ICICI,0.2182,0.4286,low,lexical+cse
edmo.co.in,edmo.co.in,0.3085,NIC,0.1808,0.5,low,lexical+cse
auloginvid0e4c.top,auloginvid0e4c.top,0.3048,ICICI,0.2322,0.4138,low,lexical+cse
meibanfa.top,meibanfa.top,0.314,BoB,0.19,0.5,low,lexical+cse
87e.top,87e.top,0.3091,PNB,0.2075,0.4615,low,lexical+cse
iconicboutiques.com,iconicboutiques.com,0.3558,NIC,0.0877,0.7579,low,lexical+cse
nicolevitulli.com,nicolevitulli.com,0.3599,NIC,0.0822,0.7765,low,lexical+cse
nickco.io.vn,nickco.io.vn,0.4495,NIC,0.1826,0.85,low,lexical+cse
narkologicheskaya-clinica-v-krasnoyarske017.ru,narkologicheskaya-clinica-v-krasnoyarske017.ru,0.3687,NIC,0.171,0.6652,low,lexical+cse
ncetaf.top,ncetaf.top,0.3074,PNB,0.1789,0.5,low,lexical+cse
nicoseguroslab.com,nicoseguroslab.com,0.3634,NIC,0.0946,0.7667,low,lexical+cse
mhswoluclinic.be,mhswoluclinic.be,0.3691,NIC,0.0902,0.7875,low,lexical+cse
janicamaemanalo.club,janicamaemanalo.club,0.3526,NIC,0.0877,0.75,low,lexical+cse
pixlist.com.br,pixlist.com.br,0.3099,ICICI,0.2088,0.4615,low,lexical+cse
svitfeit.com.ua,svitfeit.com.ua,0.3048,ICICI,0.2117,0.4444,low,lexical+cse
tonicoclimaco.com,tonicoclimaco.com,0.3535,NIC,0.0715,0.7765,low,lexical+cse
nicostours.com,nicostours.com,0.3707,NIC,0.075,0.8143,low,lexical+cse
thechronicretail.com,thechronicretail.com,0.355,NIC,0.0917,0.75,low,lexical+cse
mmsbinc.com,mmsbinc.com,0.3859,SBI,0.0614,0.8727,low,lexical+cse
roadmastersbicycle.com,roadmastersbicycle.com,0.3548,SBI,0.1005,0.7364,low,lexical+cse
simeoniquiropraxia.com.br,simeoniquiropraxia.com.br,0.3012,ICICI,0.2497,0.3784,low,lexical+cse
clinicalcitylab.net,clinicalcitylab.net,0.3523,NIC,0.0818,0.7579,low,lexical+cse
petthingsdirect.co.uk,petthingsdirect.co.uk,0.3195,ICICI,0.2409,0.4375,low,lexical+cse
nichenews.online,nichenews.online,0.3599,NIC,0.0748,0.7875,low,lexical+cse
subwaysonic.com,subwaysonic.com,0.3713,NIC,0.0855,0.8,low,lexical+cse
myclinical.services,myclinical.services,0.3565,NIC,0.0889,0.7579,low,lexical+cse
itcomunica.com,itcomunica.com,0.3683,NIC,0.071,0.8143,low,lexical+cse
3335bet.com.br,3335bet.com.br,0.3012,ICICI,0.2456,0.3846,low,lexical+cse
untechnicalpress.com,untechnicalpress.com,0.3601,NIC,0.1002,0.75,low,lexical+cse
niccolosacchetti.com,niccolosacchetti.com,0.352,NIC,0.0866,0.75,low,lexical+cse
govc.click,govc.click,0.3527,NIC,0.1712,0.625,low,lexical+cse
santamonicastudiofilms.com,santamonicastudiofilms.com,0.3473,NIC,0.1019,0.7154,low,lexical+cse
investline.click,investline.click,0.3057,SBI,0.1894,0.48,low,lexical+cse
line005.top,line005.top,0.3244,PNB,0.2269,0.4706,low,lexical+cse
jingpin16670224.top,jingpin16670224.top,0.3116,IOCL,0.2813,0.3571,low,lexical+cse
gc553v.info,gc553v.info,0.3048,NIC,0.1158,0.5882,low,lexical+cse
impossibleisnothing.co.uk,impossibleisnothing.co.uk,0.3079,BoB,0.2539,0.3889,low,lexical+cse
bnbninjas.xyz,bnbninjas.xyz,0.3013,PNB,0.1847,0.4762,low,lexical+cse
444ok.com.br,444ok.com.br,0.3004,ICICI,0.2229,0.4167,low,lexical+cse
dalisaysanicare.xyz,dalisaysanicare.xyz,0.4245,NIC,0.2022,0.7579,low,lexical+cse
123hindistatus.co.in,123hindistatus.co.in,0.3498,IOCL,0.2612,0.4828,low,lexical+cse
luxurioedgetechnical.com,luxurioedgetechnical.com,0.3546,NIC,0.1076,0.725,low,lexical+cse
nicosegurosteam.com,nicosegurosteam.com,0.3589,NIC,0.0929,0.7579,low,lexical+cse
rewordelectronics.store,rewordelectronics.store,0.3476,NIC,0.0923,0.7304,low,lexical+cse
sbiquantum.com,sbiquantum.com,0.3764,SBI,0.0845,0.8143,low,lexical+cse
commbankextrapoints365.top,commbankextrapoints365.top,0.3003,BoB,0.2483,0.3784,low,lexical+cse
swiftpeak.xyz,swiftpeak.xyz,0.3196,SBI,0.1993,0.5,low,lexical+cse
6bet29.com.br,6bet29.com.br,0.3033,ICICI,0.2388,0.4,low,lexical+cse
hseng.co.in,hseng.co.in,0.3487,NIC,0.189,0.5882,low,lexical+cse
kenichikimura.com,kenichikimura.com,0.3627,NIC,0.0868,0.7765,low,lexical+cse
lambobags.com,lambobags.com,0.3748,BoB,0.0709,0.8308,low,lexical+cse
electronicsdigest.org,electronicsdigest.org,0.3532,NIC,0.0935,0.7429,low,lexical+cse
0d497620a8c86db072d9cee90fb04e2e751fd8bb5c132125380e50df.xyz,0d497620a8c86db072d9cee90fb04e2e751fd8bb5c132125380e50df.xyz,0.3043,BoB,0.433,0.1111,low,lexical+cse
dhwanicloth.top,dhwanicloth.top,0.438,NIC,0.1966,0.8,low,lexical+cse
scplp.com.ar,scplp.com.ar,0.314,ICICI,0.19,0.5,low,lexical+cse
bobie.my.id,bobie.my.id,0.4594,BoB,0.1839,0.8727,medium,lexical+cse
pica.com.ar,pica.com.ar,0.3527,ICICI,0.182,0.6087,low,lexical+cse
themechanicparts.com,themechanicparts.com,0.3567,NIC,0.0945,0.75,low,lexical+cse
dallascarclinic.com,dallascarclinic.com,0.3529,NIC,0.0829,0.7579,low,lexical+cse
maisonintime.com.br,maisonintime.com.br,0.3142,ICICI,0.2226,0.4516,low,lexical+cse
topainews.xyz,topainews.xyz,0.3014,SBI,0.1993,0.4545,low,lexical+cse
srsmidia.com.br,srsmidia.com.br,0.3299,ICICI,0.2042,0.5185,low,lexical+cse
onionget.com.br,onionget.com.br,0.3239,SBI,0.2065,0.5,low,lexical+cse
almasclinic.com,almasclinic.com,0.3637,NIC,0.0728,0.8,low,lexical+cse
srikandi88roh.click,srikandi88roh.click,0.3048,IOCL,0.2223,0.4286,low,lexical+cse
gahl.co.il,gahl.co.il,0.3085,NIC,0.1808,0.5,low,lexical+cse
db7d6fsycg.top,db7d6fsycg.top,0.3155,HDFC,0.2228,0.4545,low,lexical+cse
indigofinance.co.uk,indigofinance.co.uk,0.3347,IOCL,0.2245,0.5,low,lexical+cse
becak88.xyz,becak88.xyz,0.3055,SBI,0.2128,0.4444,low,lexical+cse
technicalsoftwareleadership.info,technicalsoftwareleadership.info,0.3493,NIC,0.1196,0.6937,low,lexical+cse
189003.online,189003.online,0.3101,SBI,0.1532,0.5455,low,lexical+cse
meccanici.net,meccanici.net,0.3713,NIC,0.0649,0.8308,low,lexical+cse
scopocommunicatie.nl,scopocommunicatie.nl,0.3561,NIC,0.0935,0.75,low,lexical+cse
amirbeater.xyz,amirbeater.xyz,0.315,Airtel,0.1916,0.5,low,lexical+cse
loginicrosoftonline.com,loginicrosoftonline.com,0.3488,NIC,0.0943,0.7304,low,lexical+cse
nowrewardsvisacard.co.nz,nowrewardsvisacard.co.nz,0.3022,SBI,0.2456,0.3871,low,lexical+cse
breakyourownice.com,breakyourownice.com,0.3607,NIC,0.0959,0.7579,low,lexical+cse
iconiclivingteam.com,iconiclivingteam.com,0.3533,NIC,0.0889,0.75,low,lexical+cse
uhnic.com,uhnic.com,0.4103,NIC,0.0615,0.9333,low,lexical+cse
cibertronicos.com,cibertronicos.com,0.3599,NIC,0.0822,0.7765,low,lexical+cse
lunarskinspaclinic.com,lunarskinspaclinic.com,0.3521,NIC,0.096,0.7364,low,lexical+cse
hopemedclinicph.com,hopemedclinicph.com,0.3554,NIC,0.087,0.7579,low,lexical+cse
siyamxking.in.net,siyamxking.in.net,0.3007,BoB,0.2155,0.4286,low,lexical+cse
ayetechnic.online,ayetechnic.online,0.3599,NIC,0.0822,0.7765,low,lexical+cse
via4d-playnices31.click,via4d-playnices31.click,0.4405,NIC,0.2473,0.7304,low,lexical+cse
psicowingredy.com.br,psicowingredy.com.br,0.3421,ICICI,0.2368,0.5,low,lexical+cse
etnelectronics.store,etnelectronics.store,0.35,NIC,0.0833,0.75,low,lexical+cse
boyankeji.xyz,boyankeji.xyz,0.317,BoB,0.195,0.5,low,lexical+cse
jingpin34672028.top,jingpin34672028.top,0.3134,IOCL,0.2843,0.3571,low,lexical+cse
rememberingnickscaturro.com,rememberingnickscaturro.com,0.349,NIC,0.1076,0.7111,low,lexical+cse
raizdocampo.com.br,raizdocampo.com.br,0.3169,ICICI,0.217,0.4667,low,lexical+cse
partner-resmi-sbobet.com,partner-resmi-sbobet.com,0.3562,BoB,0.1104,0.725,low,lexical+cse
jnxew.top,jnxew.top,0.3207,PNB,0.1789,0.5333,low,lexical+cse
cnsa.co.in,cnsa.co.in,0.3051,NIC,0.1752,0.5,low,lexical+cse
clinicfx.com,clinicfx.com,0.3806,NIC,0.0677,0.85,low,lexical+cse
wszechnica-wszechwiedzy.pl,wszechnica-wszechwiedzy.pl,0.3526,NIC,0.1108,0.7154,low,lexical+cse
strefa-prawnicza.pl,strefa-prawnicza.pl,0.3647,NIC,0.1026,0.7579,low,lexical+cse
jyskonlinemall.sa.com,jyskonlinemall.sa.com,0.3269,SBI,0.2337,0.4667,low,lexical+cse
geieni.com.br,geieni.com.br,0.3426,ICICI,0.1976,0.56,low,lexical+cse
6fict.click,6fict.click,0.312,ICICI,0.1866,0.5,low,lexical+cse
otrne.top,otrne.top,0.3132,PNB,0.1664,0.5333,low,lexical+cse
bhmaiscidadao.com.br,bhmaiscidadao.com.br,0.3347,ICICI,0.2245,0.5,low,lexical+cse
rosanholisticclinic.com,rosanholisticclinic.com,0.3476,NIC,0.0923,0.7304,low,lexical+cse
salonline.site,salonline.site,0.3218,SBI,0.0725,0.6957,low,lexical+cse
cooponline.xyz,cooponline.xyz,0.3228,SBI,0.1901,0.5217,low,lexical+cse
nicolasdevalera.com,nicolasdevalera.com,0.3589,NIC,0.0929,0.7579,low,lexical+cse
brujomayorunicornionegro.net,brujomayorunicornionegro.net,0.3465,NIC,0.1061,0.7071,low,lexical+cse
unic.ac.id,unic.ac.id,0.4651,NIC,0.1752,0.9,medium,lexical+cse
samuelnickerson.com,samuelnickerson.com,0.3596,NIC,0.0941,0.7579,low,lexical+cse
cynthiaaimoveis.com.br,cynthiaaimoveis.com.br,0.3101,ICICI,0.2424,0.4118,low,lexical+cse
niconomad.blog,niconomad.blog,0.3731,NIC,0.079,0.8143,low,lexical+cse
injertocapilaralogenico.com,injertocapilaralogenico.com,0.3478,NIC,0.1055,0.7111,low,lexical+cse
bobbyfazioagency.com,bobbyfazioagency.com,0.3561,BoB,0.0935,0.75,low,lexical+cse
electronicstop.org,electronicstop.org,0.3597,NIC,0.0883,0.7667,low,lexical+cse
decodificandoodigital.com.br,decodificandoodigital.com.br,0.3346,ICICI,0.2577,0.45,low,lexical+cse
cookiesnice.com,cookiesnice.com,0.3629,NIC,0.0714,0.8,low,lexical+cse
organichealingchild.shop,organichealingchild.shop,0.3518,NIC,0.103,0.725,low,lexical+cse
aboard.pp.ua,aboard.pp.ua,0.3113,BoB,0.1855,0.5,low,lexical+cse
meucantinhoconfeiteiro.com.br,meucantinhoconfeiteiro.com.br,0.3129,ICICI,0.2613,0.3902,low,lexical+cse
multiplayerarenachronicle.com,multiplayerarenachronicle.com,0.3485,NIC,0.1119,0.7034,low,lexical+cse
ximed.com.br,ximed.com.br,0.3168,ICICI,0.1947,0.5,low,lexical+cse
mobilecliniceg.com,mobilecliniceg.com,0.3552,NIC,0.0809,0.7667,low,lexical+cse
booi-casino-nkg.top,booi-casino-nkg.top,0.3124,BoB,0.2096,0.4667,low,lexical+cse
vufonic.com,vufonic.com,0.3902,NIC,0.0684,0.8727,low,lexical+cse
manicurella.com,manicurella.com,0.369,NIC,0.0817,0.8,low,lexical+cse
jinsanqq6g7.top,jinsanqq6g7.top,0.3,IOCL,0.2223,0.4167,low,lexical+cse
jinsanil6x7.top,jinsanil6x7.top,0.3334,IOCL,0.2223,0.5,low,lexical+cse
pn-diament.com.pl,pn-diament.com.pl,0.3504,IOCL,0.225,0.5385,low,lexical+cse
healthcarecanonical.com,healthcarecanonical.com,0.3481,NIC,0.0933,0.7304,low,lexical+cse
fundyra.co.in,fundyra.co.in,0.3041,IOCL,0.2038,0.4545,low,lexical+cse
hostvenice.info,hostvenice.info,0.369,NIC,0.0817,0.8,low,lexical+cse
sanslicicikler.com,sanslicicikler.com,0.4034,ICICI,0.0871,0.8778,low,lexical+cse
incodenic.com,incodenic.com,0.3713,NIC,0.0649,0.8308,low,lexical+cse
online-work.site,online-work.site,0.3102,SBI,0.0904,0.64,low,lexical+cse
indiapositgov.icu,indiapositgov.icu,0.3349,IOCL,0.1991,0.5385,low,lexical+cse
johnsonally.in.net,johnsonally.in.net,0.3087,SBI,0.2182,0.4444,low,lexical+cse
nicmisieniechce.pl,nicmisieniechce.pl,0.3533,NIC,0.0778,0.7667,low,lexical+cse
mditraining.xyz,mditraining.xyz,0.3017,BoB,0.1952,0.4615,low,lexical+cse
4f0192d56ec9c382e7adba038ee87635ce4db7fc095b226dd00df6cf.xyz,4f0192d56ec9c382e7adba038ee87635ce4db7fc095b226dd00df6cf.xyz,0.3049,ICICI,0.4156,0.1389,low,lexical+cse
alordmniche.com,alordmniche.com,0.3713,NIC,0.0855,0.8,low,lexical+cse
soniccrest.com,soniccrest.com,0.3707,NIC,0.075,0.8143,low,lexical+cse
1rayan-keto.ru.com,1rayan-keto.ru.com,0.3045,BoB,0.2408,0.4,low,lexical+cse
visionunicornhealthcare.com,visionunicornhealthcare.com,0.3498,NIC,0.1089,0.7111,low,lexical+cse
sbq3e512xv.top,sbq3e512xv.top,0.3024,SBI,0.25,0.381,low,lexical+cse
slipcasting.xyz,slipcasting.xyz,0.302,SBI,0.2004,0.4545,low,lexical+cse
goodnice.shop,goodnice.shop,0.3791,NIC,0.0779,0.8308,low,lexical+cse
hdcl.info,hdcl.info,0.323,HDFC,0.0678,0.7059,low,lexical+cse
ntpxnz.top,ntpxnz.top,0.3006,PNB,0.1677,0.5,low,lexical+cse
dindanova.xyz,dindanova.xyz,0.33,IOCL,0.1863,0.5455,low,lexical+cse
bnpay.xyz,bnpay.xyz,0.3036,SBI,0.1727,0.5,low,lexical+cse
cash-financial.xyz,cash-financial.xyz,0.3015,IOCL,0.2063,0.4444,low,lexical+cse
minhhieua126.io.vn,minhhieua126.io.vn,0.3004,IOCL,0.2537,0.3704,low,lexical+cse
74e.top,74e.top,0.3091,PNB,0.2075,0.4615,low,lexical+cse
saphix.com.br,saphix.com.br,0.3158,ICICI,0.2063,0.48,low,lexical+cse
simlite.xyz,simlite.xyz,0.333,SBI,0.1847,0.5556,low,lexical+cse
djsbiu897sdfuieb.com,djsbiu897sdfuieb.com,0.3766,SBI,0.1276,0.75,low,lexical+cse
orbitthread.xyz,orbitthread.xyz,0.302,SBI,0.2004,0.4545,low,lexical+cse
ftmechanicaltrader.com,ftmechanicaltrader.com,0.3542,NIC,0.0995,0.7364,low,lexical+cse
nutriafit.com.br,nutriafit.com.br,0.3288,ICICI,0.2147,0.5,low,lexical+cse
sandynickerson.store,sandynickerson.store,0.3561,NIC,0.0935,0.75,low,lexical+cse
mangaioeditora.com.br,mangaioeditora.com.br,0.3093,ICICI,0.2327,0.4242,low,lexical+cse
aqonics.com,aqonics.com,0.3902,NIC,0.0684,0.8727,low,lexical+cse
aprimoramei.com.br,aprimoramei.com.br,0.3143,ICICI,0.2127,0.4667,low,lexical+cse
anthonysales.com.br,anthonysales.com.br,0.3099,SBI,0.2307,0.4286,low,lexical+cse
shuvalov.in.net,shuvalov.in.net,0.3175,NIC,0.2117,0.4762,low,lexical+cse
oh7design.com.br,oh7design.com.br,0.3107,ICICI,0.2322,0.4286,low,lexical+cse
melanienicolenetwork.com,melanienicolenetwork.com,0.349,NIC,0.0983,0.725,low,lexical+cse
fairechild.buzz,fairechild.buzz,0.3107,Airtel,0.2004,0.4762,low,lexical+cse
qnpwe.icu,qnpwe.icu,0.3073,NIC,0.1789,0.5,low,lexical+cse
click83.com.br,click83.com.br,0.3512,ICICI,0.2264,0.5385,low,lexical+cse
amentielectronics.com,amentielectronics.com,0.3526,NIC,0.0925,0.7429,low,lexical+cse
5576bet.com.br,5576bet.com.br,0.3045,ICICI,0.2511,0.3846,low,lexical+cse
sbiwealth.com,sbiwealth.com,0.3852,SBI,0.0882,0.8308,low,lexical+cse
lesbian-lovers-tube.com,lesbian-lovers-tube.com,0.3608,SBI,0.1144,0.7304,low,lexical+cse
albertlucasfilms.com.br,albertlucasfilms.com.br,0.306,ICICI,0.2434,0.4,low,lexical+cse
thedata-drivencyberchronicle.com,thedata-drivencyberchronicle.com,0.3519,NIC,0.124,0.6937,low,lexical+cse
mybobi.app,mybobi.app,0.3973,BoB,0.0622,0.9,low,lexical+cse
86i3.click,86i3.click,0.3029,IOCL,0.2191,0.4286,low,lexical+cse
81gg.com.br,81gg.com.br,0.3031,ICICI,0.2153,0.4348,low,lexical+cse
niloraorganics.com,niloraorganics.com,0.3578,NIC,0.0852,0.7667,low,lexical+cse
midianovavida.com.br,midianovavida.com.br,0.3272,IOCL,0.2234,0.4828,low,lexical+cse
jachnicka.com,jachnicka.com,0.3765,NIC,0.0736,0.8308,low,lexical+cse
dirochaz.com.br,dirochaz.com.br,0.3322,ICICI,0.2079,0.5185,low,lexical+cse
silatonic.com,silatonic.com,0.3774,NIC,0.0752,0.8308,low,lexical+cse
rvstoreoficial.com.br,rvstoreoficial.com.br,0.3351,ICICI,0.2353,0.4848,low,lexical+cse
sandynickerson.info,sandynickerson.info,0.3578,NIC,0.0911,0.7579,low,lexical+cse
etnic-med.com,etnic-med.com,0.3797,NIC,0.0789,0.8308,low,lexical+cse
uniisolutions.com.br,uniisolutions.com.br,0.3107,ICICI,0.2262,0.4375,low,lexical+cse
ownceusa.icu,ownceusa.icu,0.3017,SBI,0.1853,0.4762,low,lexical+cse
comunicacionynegocios.com,comunicacionynegocios.com,0.3433,NIC,0.0921,0.72,low,lexical+cse
drmonicalall.com,drmonicalall.com,0.362,NIC,0.0783,0.7875,low,lexical+cse
nicetodirty.com,nicetodirty.com,0.369,NIC,0.0817,0.8,low,lexical+cse
nickballen.me,nickballen.me,0.3774,NIC,0.0752,0.8308,low,lexical+cse
biozqnv.life,biozqnv.life,0.3,SBI,0.0789,0.6316,low,lexical+cse
vner3z.top,vner3z.top,0.3199,PNB,0.1998,0.5,low,lexical+cse
pinin.com.br,pinin.com.br,0.3474,ICICI,0.19,0.5833,low,lexical+cse
cryptomedicalclinic.com,cryptomedicalclinic.com,0.3508,NIC,0.0977,0.7304,low,lexical+cse
sedefvincmesaitakip.com.tr,sedefvincmesaitakip.com.tr,0.302,ICICI,0.2578,0.3684,low,lexical+cse
